Tweet,Suicide,Contains_Special_Characters,Length,Stopword_Proportion
making some lunch,Not Suicide post,False,3,0.3333333333333333
 You want his money.,Not Suicide post,True,4,0.5
 that crap took me forever to put together. iâm going to go sleep for DAYS,Potential Suicide post,True,15,0.3333333333333333
 #kiwitweets Hey Jer! Since when did you start twittering?,Not Suicide post,True,9,0.3333333333333333
Trying out &quot;Delicious Library 2&quot; with mixed results The bar code thought I wanted to add a sport bra instead of a drill Cool app tho!,Not Suicide post,True,26,0.3076923076923077
" Oh, that's good to hear. But is it over already? Or you'll continue it after the Holy week?",Not Suicide post,True,18,0.5555555555555556
 u've got a list for fellow #hotties? You gonna have to share that one Amigo!,Not Suicide post,True,15,0.4
"   Just because shane made a Series on you Doesnt mean people take you seriously, yâ¦ https://t.co/D5rA0nua0U",Potential Suicide post,True,16,0.375
time for some warsaw beer garden chilling,Not Suicide post,False,7,0.2857142857142857
I hate my life lmao I hope I die soon or sumn I'm too tired of everything,Potential Suicide post,True,17,0.4117647058823529
"Everything your lover does for you is for her survival, everything your mother does for you is for your survival.",Not Suicide post,True,20,0.7
"There is a stray cat on campus that looks like Garfield. The students are always feeding him, so he is very fat. Like me.",Not Suicide post,True,24,0.4583333333333333
is on the go...,Not Suicide post,True,4,0.75
I have an awful habit of avoiding writing papers by watching Instagram live videos of the kids I used to nanny forâ¦ https://t.co/NpfZu06gwy,Potential Suicide post,True,23,0.391304347826087
 Haha. Well I have more but I don't have to do anything but file the rest away or delete them.,Not Suicide post,True,20,0.6
 Goooooood hwo're you?,Not Suicide post,True,3,0.0
",,RT : I want to say ill never be active again. Not quite sure, i dont have any reason to be on here anymore anyways bye everyone tâ¦",Potential Suicide post,True,28,0.39285714285714285
Focus on opportunities more than you focus on money.,Not Suicide post,True,9,0.5555555555555556
SOMEBODY PLEASE FUCKING KILL ME IM SO IN LOVE https://t.co/WbVmmKzDDh,Potential Suicide post,True,10,0.3
Iâm at the point of the semester where Iâm so tired of everything. I just want to roll over and die.,Potential Suicide post,True,21,0.5714285714285714
",ger/rus/eng,I want to die so much, I dont want to be here anymore",Potential Suicide post,True,13,0.46153846153846156
"And I hate the fact if it's true Dojae will do surgery, Dojae has to endure the pain alone :'( without Segye ð­ð­ð­ð­ aâ¦ https://t.co/B4hM6MjQRe",Potential Suicide post,True,25,0.4
"RT : When you're tired of living your life, all you can do is close your eyes and go to sleep...",Potential Suicide post,True,21,0.5714285714285714
i am going to kill myself right now i am sorry you are feeling so desperate,Potential Suicide post,False,16,0.625
" enjoy I just can't get into it this season, but happy to know that you're getting your groove on.",Not Suicide post,True,19,0.5263157894736842
 Bloodstain on the carpet? Ready to gooo! http://short.to/3uqb,Not Suicide post,True,8,0.375
Really fuckin want this portion of my life to be over.,Potential Suicide post,True,11,0.45454545454545453
I'm VERY VERY hungry! Don't anyone on my timeline dare to talk about food :@ Or I'll seriously eat you up!,Not Suicide post,True,21,0.42857142857142855
Mom always used to want everyone home before dark – as though anything was out there at night that wasn't there during the day.,Not Suicide post,True,24,0.5
 I think you'll do whatever you want.,Not Suicide post,True,7,0.5714285714285714
 that sounds so terrible that's how i was when my dad still lived w me but i hope it gets better forâ¦ https://t.co/oAh2tUnbXt,Potential Suicide post,True,23,0.4782608695652174
" No, just one shortly before the soap awards judging starts....",Not Suicide post,True,10,0.3
" Just had a conversation with  about how 'dependent' we seem to be of internet and mobile phones nowadays,",Not Suicide post,True,18,0.6111111111111112
" Oh yes, I was reading that one",Not Suicide post,True,7,0.42857142857142855
My life is so miserable and it's not getting better.,Potential Suicide post,True,10,0.6
" you SAU! i stood up at 8. then off to offenbach, home. outside. sunshine. love you.",Not Suicide post,True,16,0.4375
She is not tired.,Not Suicide post,True,4,0.75
RT : Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,Potential Suicide post,True,21,0.5238095238095238
"But what Bezos, de Blasio, and Cuomo have down is walked into our little lego town, kicked all of our lego towers aâ¦ https://t.co/WQqDasF7n4",Potential Suicide post,True,24,0.4583333333333333
I want money,Not Suicide post,False,3,0.3333333333333333
" how was it, so I know what to expect?",Not Suicide post,True,9,0.6666666666666666
Mmm mummy's culinary skills has been improving. Smells so good! i'm loving home cooked food!,Not Suicide post,True,15,0.2
